location,state,checking_amt,duration,credit_history,purpose,credit_amount,savings,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class,application_date,works_outside_US
"Marion, IN",Indiana,"(-0.01, 0.01]","(12.0, 24.0]",'delayed previously',furniture/equipment,"(500.0, 1000.0]","[0.0, 0.01)",4<=X<7,3.0,'female div/dep/mar',none,2.0,'life insurance',"(20.0, 30.0]",none,own,2.0,skilled,1.0,none,yes,bad,09/1995,yes
"Orleans, LA",Louisiana,"(-0.01, 0.01]","(0.0, 12.0]",'critical/other existing credit','new car',"(1000.0, 2500.0]","[0.0, 0.01)",1<=X<4,4.0,'male single',,4.0,'real estate',"(40.0, 50.0]",none,own,1.0,skilled,1.0,,1,good,09/1995,1
"Baltimore city, MD",Maryland,"(0.01, 1000.0]","(0.0, 12.0]",,'new car',"(1000.0, 2500.0]","[0.01, 100.0)",unemployed,4.0,'male single',none,4.0,'life insurance',"(40.0, 50.0]",none,own,1.0,'high qualif/self emp/mgmt',1.0,yes,no,good,09/1995,no
"Wayne, MI",Michigan,"(-0.01, 0.01]","(0.0, 12.0]",'existing paid',,"(2500.0, 5000.0]","[0.0, 0.01)",1<=X<4,2.0,,none,4.0,car,"(50.0, 60.0]",none,own,1.0,skilled,1.0,yes,yes,good,09/1995,yes
"St. Louis, MO",Missouri,"(-0.01, 0.01]",,,,"(2500.0, 5000.0]","[0.0, 0.01)",,4.0,'female div/dep/mar','co applicant',,'no known property',"(60.0, 70.0]",none,'for free',1.0,skilled,1.0,yes,no,good,09/1995,no
"Camden, NJ",New Jersey,"(-0.01, 0.01]","(0.0, 12.0]",'existing paid',,"(1000.0, 2500.0]","[0.0, 0.01)",1<=X<4,3.0,'male single',none,,'real estate',"(30.0, 40.0]",none,rent,1.0,'unskilled resident',1.0,,yes,bad,09/1995,yes
"Essex, NJ",New Jersey,"(-0.01, 0.01]","(0.0, 12.0]",'existing paid',,"(2500.0, 5000.0]","[0.0, 0.01)",1<=X<4,2.0,'male single',guarantor,3.0,'life insurance',"(20.0, 30.0]",none,rent,1.0,skilled,1.0,none,no,bad,09/1995,no
"Clark, NV",Nevada,"(-0.01, 0.01]","(0.0, 12.0]",'critical/other existing credit',radio/tv,"(1000.0, 2500.0]","[0.0, 0.01)",>=7,2.0,'male single',none,2.0,'no known property',,none,own,2.0,skilled,,none,yes,good,09/1995,yes
"New York, NY",New York,"(0.01, 1000.0]",,,business,"(7500.0, 10000.0]","[0.01, 100.0)",>=7,2.0,'female div/dep/mar',none,4.0,'no known property',,none,'for free',2.0,'high qualif/self emp/mgmt',1.0,yes,no,bad,09/1995,no
"Philadelphia, PA",Pennsylvania,"(-0.01, 0.01]","(0.0, 12.0]",'critical/other existing credit',radio/tv,"(1000.0, 2500.0]","[0.0, 0.01)",,1.0,'female div/dep/mar',none,1.0,'life insurance',"(20.0, 30.0]",none,own,2.0,skilled,,none,no,good,09/1995,no
"Shelby, TN",Tennessee,"(0.01, 1000.0]","(0.0, 12.0]",'existing paid',radio/tv,"(200.0, 500.0]","[0.0, 0.01)",,4.0,,none,4.0,'life insurance',"(30.0, 40.0]",none,own,1.0,skilled,1.0,none,yes,good,09/1995,yes
"Travis, TX",Texas,"(-10000.0, -1000.0]","(0.0, 12.0]",'critical/other existing credit','new car',"(1000.0, 2500.0]","[0.01, 100.0)",1<=X<4,3.0,'male single',none,2.0,'real estate',,none,rent,2.0,'unskilled resident',2.0,none,no,good,09/1995,no
"Dallas, TX",Texas,"(-10000.0, -1000.0]","(12.0, 24.0]",'existing paid',furniture/equipment,"(2500.0, 5000.0]","[0.0, 0.01)",1<=X<4,2.0,'male mar/wid',,4.0,car,"(10.0, 20.0]",none,own,1.0,skilled,1.0,none,no,bad,09/1995,no
"Harris, TX",Texas,"(0.01, 1000.0]",,'existing paid',furniture/equipment,"(7500.0, 10000.0]","[100.0, 500.0)",<1,4.0,'male single','co applicant',1.0,'no known property',"(20.0, 30.0]",none,rent,1.0,'high qualif/self emp/mgmt',1.0,yes,yes,bad,09/1995,yes
"Bexar, TX",Texas,"(-0.01, 0.01]","(12.0, 24.0]",'critical/other existing credit',furniture/equipment,"(1000.0, 2500.0]","[0.0, 0.01)",4<=X<7,4.0,'male single',none,,'life insurance',"(30.0, 40.0]",none,own,2.0,skilled,1.0,none,no,good,09/1995,no
"Maricopa, AZ",Arizona,"(0.01, 1000.0]","(12.0, 24.0]",'existing paid',radio/tv,,"[0.01, 100.0)",>=7,4.0,'male mar/wid',guarantor,2.0,'real estate',"(30.0, 40.0]",,own,1.0,'unskilled resident',1.0,none,1,bad,09/1995,1
"Alameda, CA",California,"(1000.0, 10000.0]","(0.0, 12.0]",'critical/other existing credit',,"(1000.0, 2500.0]","[100.0, 500.0)",>=7,2.0,'male div/sep',none,4.0,car,"(20.0, 30.0]",,own,2.0,skilled,2.0,yes,1,good,09/1995,1
"Los Angeles, CA",California,"(-10000.0, -1000.0]","(12.0, 24.0]",,'new car',"(2500.0, 5000.0]","[0.01, 100.0)",,4.0,'female div/dep/mar',none,1.0,'life insurance',"(20.0, 30.0]",none,own,1.0,skilled,1.0,none,yes,good,09/1995,yes
"San Francisco, CA",California,"(-10000.0, -1000.0]","(24.0, 36.0]",'existing paid','used car',"(5000.0, 7500.0]","[0.0, 0.01)",>=7,2.0,'male single',none,4.0,'no known property',"(40.0, 50.0]",none,'for free',,skilled,2.0,none,no,good,09/1995,no
"Fulton, GA",Georgia,"(1000.0, 10000.0]","(0.0, 12.0]",,radio/tv,,"[100.0, 500.0)",,,'male div/sep',none,4.0,,"(40.0, 50.0]",none,own,1.0,skilled,,none,no,bad,09/1995,no
"Cook, IL",Illinois,"(0.01, 1000.0]","(12.0, 24.0]",'critical/other existing credit',radio/tv,"(1000.0, 2500.0]","[100.0, 500.0)",<1,4.0,'male single',none,4.0,'no known property',"(30.0, 40.0]",bank,own,2.0,skilled,2.0,none,no,bad,09/1995,no
"Marion, IN",Indiana,"(-10000.0, -1000.0]","(12.0, 24.0]",'existing paid','new car',"(1000.0, 2500.0]","[0.01, 100.0)",,4.0,,none,4.0,'life insurance',"(20.0, 30.0]",none,rent,,skilled,1.0,none,yes,good,09/1995,yes
"Orleans, LA",Louisiana,"(-0.01, 0.01]","(0.0, 12.0]",'existing paid','new car',"(1000.0, 2500.0]","[0.0, 0.01)",1<=X<4,4.0,'male single',guarantor,4.0,'life insurance',"(20.0, 30.0]",none,own,1.0,'unskilled resident',1.0,none,no,good,09/1995,no
"Wayne, MI",Michigan,"(1000.0, 10000.0]","(12.0, 24.0]",'critical/other existing credit','used car',"(1000.0, 2500.0]","[500.0, 1000.0)",1<=X<4,2.0,'male single',none,2.0,car,"(30.0, 40.0]",none,own,1.0,skilled,1.0,yes,no,good,09/1995,no
"St. Louis, MO",Missouri,"(0.01, 1000.0]","(12.0, 24.0]",'all paid','new car',,"[100.0, 500.0)",unemployed,1.0,'male single',none,2.0,'life insurance',"(30.0, 40.0]",,own,1.0,'high qualif/self emp/mgmt',2.0,yes,no,bad,09/1995,no
"Camden, NJ",New Jersey,"(-0.01, 0.01]","(12.0, 24.0]",'existing paid',radio/tv,,"[0.0, 0.01)",1<=X<4,4.0,,none,2.0,'life insurance',"(20.0, 30.0]",,,1.0,,1.0,none,no,bad,09/1995,no
"Essex, NJ",New Jersey,"(-0.01, 0.01]","(36.0, 48.0]",'existing paid',,"(7500.0, 10000.0]","[0.0, 0.01)",>=7,4.0,'male single',none,2.0,car,"(40.0, 50.0]",none,own,1.0,,1.0,yes,no,good,10/1995,no
"Clark, NV",Nevada,"(-1000.0, -0.01]","(0.0, 12.0]",'existing paid','new car',"(500.0, 1000.0]","[0.0, 0.01)",4<=X<7,4.0,'male single',none,2.0,'real estate',"(20.0, 30.0]",none,own,1.0,skilled,1.0,none,yes,bad,10/1995,yes
"New York, NY",New York,"(-0.01, 0.01]","(24.0, 36.0]",'existing paid','used car',"(2500.0, 5000.0]","[0.0, 0.01)",1<=X<4,2.0,,none,2.0,'no known property',,none,'for free',,'high qualif/self emp/mgmt',1.0,yes,no,bad,10/1995,no
"Philadelphia, PA",Pennsylvania,"(1000.0, 10000.0]","(12.0, 24.0]",'existing paid',business,"(2500.0, 5000.0]","[0.01, 100.0)",,2.0,'male single',none,4.0,'life insurance',"(20.0, 30.0]",,rent,1.0,,1.0,,yes,bad,10/1995,yes
"Shelby, TN",Tennessee,"(0.01, 1000.0]","(0.0, 12.0]",'delayed previously',radio/tv,"(500.0, 1000.0]","[0.01, 100.0)",1<=X<4,4.0,'male mar/wid','co applicant',4.0,'real estate',"(10.0, 20.0]",none,rent,2.0,skilled,1.0,,yes,good,10/1995,yes
"Dallas, TX",Texas,"(-0.01, 0.01]","(12.0, 24.0]",'existing paid','new car',,"[0.0, 0.01)",<1,4.0,'male single',none,1.0,'life insurance',"(50.0, 60.0]",none,own,1.0,skilled,1.0,none,yes,good,10/1995,yes
"Harris, TX",Texas,"(-10000.0, -1000.0]","(0.0, 12.0]",'critical/other existing credit','new car',"(500.0, 1000.0]","[0.0, 0.01)",4<=X<7,4.0,'female div/dep/mar',none,3.0,'life insurance',"(30.0, 40.0]",none,own,2.0,skilled,1.0,none,no,bad,10/1995,no
"Bexar, TX",Texas,"(-10000.0, -1000.0]","(0.0, 12.0]",'critical/other existing credit','new car',"(1000.0, 2500.0]","[0.01, 100.0)",<1,2.0,'male single',none,4.0,'real estate',"(30.0, 40.0]",none,,1.0,'unskilled resident',2.0,none,1,good,10/1995,1
"Maricopa, AZ",Arizona,"(-0.01, 0.01]","(24.0, 36.0]",'critical/other existing credit',furniture/equipment,"(5000.0, 7500.0]","[0.0, 0.01)",<1,2.0,'female div/dep/mar',none,4.0,'life insurance',"(20.0, 30.0]",,rent,2.0,skilled,1.0,yes,no,bad,10/1995,no
"Alameda, CA",California,"(-10000.0, -1000.0]","(0.0, 12.0]",'existing paid','new car',"(1000.0, 2500.0]","[100.0, 500.0)",>=7,3.0,'male single',none,2.0,'life insurance',"(40.0, 50.0]",none,own,1.0,skilled,,yes,no,good,10/1995,no
"Los Angeles, CA",California,"(-0.01, 0.01]","(0.0, 12.0]",'critical/other existing credit',,"(500.0, 1000.0]","[0.0, 0.01)",>=7,4.0,'male single',none,4.0,'no known property',"(30.0, 40.0]",none,'for free',2.0,skilled,1.0,none,1,good,10/1995,1
"San Francisco, CA",California,"(-0.01, 0.01]","(12.0, 24.0]",'critical/other existing credit',repairs,,"[0.0, 0.01)",>=7,3.0,'male single',,4.0,'no known property',"(40.0, 50.0]",none,'for free',2.0,skilled,1.0,none,yes,good,10/1995,yes
"Fulton, GA",Georgia,"(-10000.0, -1000.0]",,'existing paid',radio/tv,"(2500.0, 5000.0]","[0.01, 100.0)",,2.0,'female div/dep/mar',none,2.0,'real estate',"(20.0, 30.0]",none,own,1.0,skilled,1.0,none,yes,bad,10/1995,yes
"Cook, IL",Illinois,"(-10000.0, -1000.0]","(36.0, 48.0]",'no credits/all paid',furniture/equipment,"(5000.0, 7500.0]","[0.01, 100.0)",1<=X<4,3.0,'male single',none,4.0,'no known property',,none,'for free',,skilled,2.0,none,yes,good,10/1995,yes
"Marion, IN",Indiana,"(-0.01, 0.01]","(12.0, 24.0]",'existing paid',,"(2500.0, 5000.0]","[0.0, 0.01)",4<=X<7,3.0,'female div/dep/mar',none,4.0,car,,none,own,1.0,skilled,1.0,none,no,bad,10/1995,no
"Orleans, LA",Louisiana,"(0.01, 1000.0]",,'existing paid',radio/tv,"(1000.0, 2500.0]","[0.01, 100.0)",1<=X<4,4.0,,guarantor,4.0,'real estate',"(20.0, 30.0]",none,own,1.0,'unskilled resident',,none,yes,bad,10/1995,yes
"Baltimore city, MD",Maryland,"(0.01, 1000.0]","(24.0, 36.0]",'existing paid','used car',"(7500.0, 10000.0]","[0.01, 100.0)",<1,2.0,'male single',none,3.0,,"(20.0, 30.0]",none,own,2.0,skilled,1.0,none,1,good,10/1995,1
"Wayne, MI",Michigan,"(-0.01, 0.01]","(12.0, 24.0]",'critical/other existing credit',education,"(1000.0, 2500.0]","[0.0, 0.01)",1<=X<4,4.0,'female div/dep/mar',none,3.0,car,"(30.0, 40.0]",,own,1.0,,1.0,none,yes,bad,10/1995,yes
"St. Louis, MO",Missouri,"(-0.01, 0.01]","(0.0, 12.0]",'critical/other existing credit',radio/tv,"(1000.0, 2500.0]","[0.0, 0.01)",4<=X<7,2.0,'male single',none,,'real estate',"(40.0, 50.0]",none,own,2.0,,2.0,none,no,good,10/1995,no
"Essex, NJ",New Jersey,"(-10000.0, -1000.0]","(24.0, 36.0]",'existing paid',radio/tv,"(1000.0, 2500.0]","[0.01, 100.0)",1<=X<4,4.0,'male div/sep',none,4.0,car,,none,rent,1.0,skilled,1.0,none,no,bad,10/1995,no
"Clark, NV",Nevada,"(-10000.0, -1000.0]","(0.0, 12.0]",'existing paid','new car',"(500.0, 1000.0]","[0.01, 100.0)",<1,3.0,'male single',none,4.0,'real estate',"(40.0, 50.0]",none,own,1.0,,2.0,yes,yes,good,10/1995,yes
"New York, NY",New York,"(0.01, 1000.0]","(24.0, 36.0]",'existing paid',education,"(1000.0, 2500.0]","[0.01, 100.0)",4<=X<7,3.0,'male single',none,1.0,,"(30.0, 40.0]",none,own,2.0,skilled,2.0,none,no,good,10/1995,no
"Philadelphia, PA",Pennsylvania,"(0.01, 1000.0]","(12.0, 24.0]",'existing paid','new car',"(2500.0, 5000.0]","[100.0, 500.0)",,2.0,'female div/dep/mar',none,,car,"(20.0, 30.0]",none,rent,2.0,skilled,1.0,yes,yes,bad,10/1995,yes
"Shelby, TN",Tennessee,"(-0.01, 0.01]","(0.0, 12.0]",'delayed previously','used car',"(1000.0, 2500.0]","[0.0, 0.01)",1<=X<4,4.0,'male mar/wid',none,4.0,'real estate',"(40.0, 50.0]",none,rent,1.0,skilled,1.0,none,yes,good,10/1995,yes
"Dallas, TX",Texas,"(-0.01, 0.01]","(12.0, 24.0]",'existing paid',radio/tv,"(1000.0, 2500.0]","[0.0, 0.01)",4<=X<7,4.0,'male mar/wid',none,3.0,'life insurance',"(20.0, 30.0]",none,own,1.0,skilled,1.0,yes,1,good,10/1995,1
"Harris, TX",Texas,"(-0.01, 0.01]","(12.0, 24.0]",'existing paid',radio/tv,"(2500.0, 5000.0]","[0.0, 0.01)",<1,4.0,'male single',none,2.0,car,"(20.0, 30.0]",none,own,2.0,skilled,1.0,none,no,bad,10/1995,no
"Bexar, TX",Texas,"(1000.0, 10000.0]","(12.0, 24.0]",'critical/other existing credit',education,"(1000.0, 2500.0]","[0.01, 100.0)",<1,2.0,'male div/sep',none,1.0,,"(30.0, 40.0]",none,rent,1.0,skilled,1.0,none,no,bad,10/1995,no
"Bexar, TX",Texas,"(-1000.0, -0.01]","(0.0, 12.0]",'existing paid','new car',"(1000.0, 2500.0]","[0.0, 0.01)",unemployed,,'female div/dep/mar',none,,'life insurance',"(70.0, 80.0]",,own,1.0,'high qualif/self emp/mgmt',1.0,,no,bad,10/1995,no
"Los Angeles, CA",California,"(0.01, 1000.0]","(12.0, 24.0]",'critical/other existing credit',furniture/equipment,"(2500.0, 5000.0]","[0.01, 100.0)",>=7,3.0,'female div/dep/mar',none,4.0,'life insurance',,none,,1.0,skilled,1.0,yes,yes,good,10/1995,yes
"San Francisco, CA",California,"(-10000.0, -1000.0]","(36.0, 48.0]",,'new car',"(7500.0, 10000.0]","[0.01, 100.0)",>=7,4.0,'male single',none,4.0,'no known property',"(40.0, 50.0]",bank,'for free',1.0,'high qualif/self emp/mgmt',1.0,none,1,bad,10/1995,1
"Fulton, GA",Georgia,"(1000.0, 10000.0]","(12.0, 24.0]",'existing paid',furniture/equipment,"(2500.0, 5000.0]","[0.01, 100.0)",<1,1.0,'female div/dep/mar',none,1.0,'life insurance',"(40.0, 50.0]",stores,own,1.0,'unskilled resident',1.0,none,yes,bad,10/1995,yes
"Cook, IL",Illinois,"(0.01, 1000.0]","(0.0, 12.0]",'existing paid',radio/tv,"(1000.0, 2500.0]","[0.01, 100.0)",<1,1.0,'male mar/wid',none,1.0,'real estate',"(20.0, 30.0]",none,rent,,skilled,1.0,none,no,good,11/1995,no
"Marion, IN",Indiana,"(-0.01, 0.01]","(12.0, 24.0]",'delayed previously','new car',"(1000.0, 2500.0]","[0.0, 0.01)",>=7,4.0,'male single',none,4.0,'no known property',"(50.0, 60.0]",none,'for free',2.0,,1.0,yes,no,good,11/1995,no
"Orleans, LA",Louisiana,"(-10000.0, -1000.0]","(24.0, 36.0]",'existing paid',furniture/equipment,"(5000.0, 7500.0]","[0.0, 0.01)",>=7,4.0,'male single',none,4.0,'life insurance',"(30.0, 40.0]",none,own,1.0,skilled,1.0,none,no,good,11/1995,no
"Baltimore city, MD",Maryland,"(1000.0, 10000.0]","(12.0, 24.0]",'existing paid',furniture/equipment,"(2500.0, 5000.0]","[0.01, 100.0)",1<=X<4,2.0,'male single',none,1.0,,"(30.0, 40.0]",none,own,1.0,'unskilled resident',2.0,none,no,bad,11/1995,no
"Wayne, MI",Michigan,"(-0.01, 0.01]","(0.0, 12.0]",'critical/other existing credit','new car',"(1000.0, 2500.0]","[0.0, 0.01)",>=7,4.0,'male single',none,4.0,'real estate',"(60.0, 70.0]",none,own,2.0,'unskilled resident',1.0,,no,bad,11/1995,no
"Kansas City, MO",Missouri,"(-1000.0, -0.01]","(12.0, 24.0]",'delayed previously','new car',"(1000.0, 2500.0]","[0.01, 100.0)",unemployed,4.0,'male single',none,2.0,'real estate',"(40.0, 50.0]",none,'for free',2.0,skilled,2.0,none,yes,good,11/1995,yes
"Essex, NJ",New Jersey,"(-0.01, 0.01]",,'critical/other existing credit','new car',"(1000.0, 2500.0]","[0.0, 0.01)",1<=X<4,4.0,'female div/dep/mar',none,4.0,car,"(30.0, 40.0]",none,own,1.0,skilled,1.0,yes,1,bad,11/1995,1
"Clark, NV",Nevada,"(-0.01, 0.01]","(12.0, 24.0]",'existing paid',radio/tv,"(1000.0, 2500.0]","[0.0, 0.01)",4<=X<7,,'male single',,1.0,car,"(30.0, 40.0]",bank,own,1.0,skilled,2.0,none,no,bad,11/1995,no
"New York, NY",New York,"(-0.01, 0.01]","(0.0, 12.0]",'all paid',radio/tv,"(500.0, 1000.0]","[0.0, 0.01)",1<=X<4,4.0,'female div/dep/mar',none,,'real estate',"(20.0, 30.0]",bank,own,1.0,'unskilled resident',1.0,none,yes,bad,11/1995,yes
"Philadelphia, PA",Pennsylvania,"(-0.01, 0.01]","(36.0, 48.0]",'critical/other existing credit','used car',"(7500.0, 10000.0]","[0.0, 0.01)",4<=X<7,2.0,'male single',none,1.0,'no known property',"(30.0, 40.0]",none,'for free',2.0,,1.0,yes,no,good,11/1995,no
"Dallas, TX",Texas,"(-0.01, 0.01]","(0.0, 12.0]",'critical/other existing credit',,"(500.0, 1000.0]","[0.0, 0.01)",4<=X<7,4.0,'female div/dep/mar',none,4.0,'real estate',"(20.0, 30.0]",none,,2.0,skilled,1.0,none,no,good,11/1995,no
"Harris, TX",Texas,"(-0.01, 0.01]","(0.0, 12.0]",'all paid',radio/tv,"(1000.0, 2500.0]","[0.0, 0.01)",>=7,2.0,'male single',none,4.0,'life insurance',"(40.0, 50.0]",bank,own,1.0,'unskilled resident',2.0,none,1,good,11/1995,1
"Bexar, TX",Texas,"(-10000.0, -1000.0]","(36.0, 48.0]",'existing paid',radio/tv,,"[0.01, 100.0)",4<=X<7,1.0,'male mar/wid',guarantor,1.0,'real estate',,none,own,2.0,skilled,1.0,yes,yes,bad,11/1995,yes
"Los Angeles, CA",California,"(0.01, 1000.0]","(0.0, 12.0]",'critical/other existing credit',,"(1000.0, 2500.0]","[100.0, 500.0)",<1,4.0,'male single',none,1.0,car,"(20.0, 30.0]",,own,1.0,skilled,1.0,none,1,good,11/1995,1
"San Francisco, CA",California,"(0.01, 1000.0]","(0.0, 12.0]",'existing paid',education,"(1000.0, 2500.0]","[0.01, 100.0)",4<=X<7,4.0,'female div/dep/mar',none,4.0,'life insurance',"(60.0, 70.0]",none,own,2.0,'high qualif/self emp/mgmt',1.0,yes,yes,bad,11/1995,yes
"Cook, IL",Illinois,"(0.01, 1000.0]","(0.0, 12.0]",,radio/tv,"(1000.0, 2500.0]","[0.01, 100.0)",<1,2.0,'male single',none,1.0,car,"(20.0, 30.0]",stores,own,1.0,skilled,1.0,none,yes,bad,11/1995,yes
"Marion, IN",Indiana,"(0.01, 1000.0]","(12.0, 24.0]",'no credits/all paid','new car',"(1000.0, 2500.0]","[100.0, 500.0)",,3.0,'female div/dep/mar',none,3.0,car,"(20.0, 30.0]",none,own,2.0,skilled,1.0,none,yes,good,11/1995,yes
"Orleans, LA",Louisiana,"(-0.01, 0.01]","(12.0, 24.0]",'no credits/all paid','new car',,"[0.0, 0.01)",1<=X<4,1.0,'female div/dep/mar',none,4.0,'life insurance',"(20.0, 30.0]",bank,own,2.0,skilled,1.0,,no,good,11/1995,no
"Baltimore city, MD",Maryland,"(-10000.0, -1000.0]","(12.0, 24.0]",'all paid',furniture/equipment,"(2500.0, 5000.0]","[0.01, 100.0)",4<=X<7,3.0,'male single',none,4.0,,"(20.0, 30.0]",bank,own,1.0,skilled,1.0,none,yes,good,11/1995,yes
"Wayne, MI",Michigan,"(0.01, 1000.0]","(12.0, 24.0]",'critical/other existing credit',furniture/equipment,"(1000.0, 2500.0]","[0.01, 100.0)",<1,,'male single',none,,'real estate',"(30.0, 40.0]",none,own,2.0,'unskilled resident',1.0,none,no,good,11/1995,no
"Kansas City, MO",Missouri,"(-10000.0, -1000.0]","(12.0, 24.0]",,'used car',"(2500.0, 5000.0]","[0.0, 0.01)",>=7,4.0,'male single',none,,'no known property',"(40.0, 50.0]",bank,'for free',1.0,skilled,2.0,yes,yes,good,11/1995,yes
"Essex, NJ",New Jersey,"(-1000.0, -0.01]","(12.0, 24.0]",,,"(1000.0, 2500.0]","[0.01, 100.0)",4<=X<7,4.0,'male single',guarantor,4.0,car,"(20.0, 30.0]",bank,rent,1.0,,1.0,none,yes,good,11/1995,yes
"Clark, NV",Nevada,"(1000.0, 10000.0]","(0.0, 12.0]",'delayed previously',radio/tv,"(500.0, 1000.0]","[0.01, 100.0)",<1,2.0,'female div/dep/mar',none,1.0,'life insurance',"(20.0, 30.0]",bank,own,1.0,skilled,1.0,none,no,good,11/1995,no
"New York, NY",New York,"(0.01, 1000.0]","(24.0, 36.0]",'existing paid','new car',"(10000.0, 12500.0]","[0.0, 0.01)",1<=X<4,1.0,'male single',none,4.0,'no known property',"(30.0, 40.0]",none,'for free',1.0,skilled,1.0,yes,no,bad,11/1995,no
"Philadelphia, PA",Pennsylvania,"(0.01, 1000.0]",,'delayed previously',business,"(2500.0, 5000.0]","[0.0, 0.01)",1<=X<4,4.0,'male single',,2.0,'life insurance',"(30.0, 40.0]",,own,2.0,'high qualif/self emp/mgmt',1.0,yes,no,good,11/1995,no
"Dallas, TX",Texas,"(0.01, 1000.0]","(12.0, 24.0]",'delayed previously',radio/tv,"(1000.0, 2500.0]","[100.0, 500.0)",4<=X<7,3.0,'female div/dep/mar',none,2.0,'life insurance',"(20.0, 30.0]",none,rent,2.0,skilled,1.0,yes,yes,good,11/1995,yes
"Harris, TX",Texas,"(-10000.0, -1000.0]","(0.0, 12.0]",'existing paid','new car',"(1000.0, 2500.0]","[0.01, 100.0)",,2.0,'male div/sep',,,,"(30.0, 40.0]",none,own,1.0,skilled,1.0,none,no,good,11/1995,no
"Bexar, TX",Texas,"(-0.01, 0.01]","(12.0, 24.0]",'critical/other existing credit',radio/tv,,"[0.0, 0.01)",>=7,2.0,'male single',none,2.0,car,"(30.0, 40.0]",none,own,1.0,skilled,1.0,none,no,good,11/1995,no
"Los Angeles, CA",California,"(0.01, 1000.0]","(36.0, 48.0]",'existing paid',,"(2500.0, 5000.0]","[0.0, 0.01)",4<=X<7,4.0,'male single',,1.0,car,"(40.0, 50.0]",none,own,2.0,skilled,2.0,yes,yes,good,11/1995,yes
"Cook, IL",Illinois,"(-10000.0, -1000.0]","(36.0, 48.0]",'existing paid',radio/tv,"(5000.0, 7500.0]","[0.01, 100.0)",1<=X<4,3.0,'female div/dep/mar',none,2.0,car,"(30.0, 40.0]",none,own,1.0,skilled,1.0,yes,no,good,11/1995,no
"Baltimore city, MD",Maryland,"(-10000.0, -1000.0]",,'existing paid',furniture/equipment,"(2500.0, 5000.0]","[0.01, 100.0)",,4.0,,,4.0,'real estate',"(20.0, 30.0]",none,rent,1.0,'unskilled resident',1.0,yes,no,good,12/1995,no
"Wayne, MI",Michigan,"(-0.01, 0.01]","(24.0, 36.0]",,radio/tv,"(5000.0, 7500.0]","[0.0, 0.01)",4<=X<7,,'male single','co applicant',2.0,car,"(30.0, 40.0]",none,own,1.0,skilled,1.0,,1,good,12/1995,1
"St. Louis, MO",Missouri,"(-0.01, 0.01]",,'existing paid','used car',"(5000.0, 7500.0]","[0.0, 0.01)",unemployed,2.0,'female div/dep/mar',none,,'life insurance',"(20.0, 30.0]",none,rent,1.0,'high qualif/self emp/mgmt',1.0,yes,no,good,12/1995,no
"Clark, NV",Nevada,"(-10000.0, -1000.0]",,'existing paid',,"(500.0, 1000.0]","[0.01, 100.0)",1<=X<4,4.0,'female div/dep/mar',none,4.0,'life insurance',,none,,1.0,,1.0,none,no,good,12/1995,no
"New York, NY",New York,"(0.01, 1000.0]","(0.0, 12.0]",'existing paid',radio/tv,"(1000.0, 2500.0]","[0.01, 100.0)",>=7,4.0,'male single',none,4.0,,,none,own,2.0,'unskilled resident',1.0,none,no,bad,12/1995,no
"Philadelphia, PA",Pennsylvania,"(-0.01, 0.01]","(12.0, 24.0]",'critical/other existing credit',furniture/equipment,"(2500.0, 5000.0]","[0.0, 0.01)",4<=X<7,2.0,'female div/dep/mar','co applicant',3.0,,"(20.0, 30.0]",bank,own,2.0,skilled,1.0,none,yes,good,12/1995,yes
"Dallas, TX",Texas,"(0.01, 1000.0]","(0.0, 12.0]",'existing paid',radio/tv,"(2500.0, 5000.0]","[0.01, 100.0)",4<=X<7,2.0,'female div/dep/mar',none,1.0,'real estate',"(20.0, 30.0]",none,own,1.0,skilled,1.0,none,no,bad,12/1995,no
"Harris, TX",Texas,"(-0.01, 0.01]","(12.0, 24.0]",'critical/other existing credit',education,"(1000.0, 2500.0]","[0.0, 0.01)",1<=X<4,3.0,'female div/dep/mar',none,2.0,car,"(30.0, 40.0]",none,,2.0,skilled,1.0,yes,yes,good,12/1995,yes
"Bexar, TX",Texas,"(0.01, 1000.0]","(24.0, 36.0]",'critical/other existing credit','new car',"(2500.0, 5000.0]","[0.01, 100.0)",<1,,'male div/sep',none,,,"(20.0, 30.0]",none,own,2.0,skilled,1.0,none,yes,good,12/1995,yes
"Los Angeles, CA",California,"(-0.01, 0.01]","(12.0, 24.0]",'existing paid',,"(500.0, 1000.0]","[0.0, 0.01)",<1,4.0,'male mar/wid',none,,car,,none,own,2.0,'unskilled resident',,none,no,bad,12/1995,no
"Cook, IL",Illinois,"(0.01, 1000.0]",,'critical/other existing credit','new car',"(1000.0, 2500.0]","[0.01, 100.0)",>=7,3.0,'male single',guarantor,3.0,'real estate',"(20.0, 30.0]",bank,own,2.0,skilled,1.0,,yes,good,12/1995,yes
"Baltimore city, MD",Maryland,"(0.01, 1000.0]","(0.0, 12.0]",'critical/other existing credit','new car',"(2500.0, 5000.0]","[0.01, 100.0)",,1.0,'male single',none,3.0,'real estate',"(40.0, 50.0]",bank,own,2.0,,2.0,none,no,bad,12/1995,no
