state,checking_amt,duration,credit_history,purpose,credit_amount,savings,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class,application_date,works_outside_US
Pennsylvania,'(-5000.0, -2500.0]','(0.0, 12.0]','critical/other existing credit',radio/tv,?,'[0.0, 0.01)',>=7,?,'male single',none,4,'real estate','(60.0, 70.0]',none,own,2,skilled,1,yes,no,bad,05/1994,no
Texas,'(-2500.0, -1000.0]','(0.0, 12.0]','critical/other existing credit','new car','(500.0, 1000.0]','[0.0, 0.01)',4<=X<7,4,'female div/dep/mar',none,3,'life insurance','(30.0, 40.0]',none,own,2,skilled,1,none,no,bad,10/1995,no
Texas,'(-10000.0, -7500.0]','(0.0, 12.0]','critical/other existing credit','new car','(1000.0, 2500.0]','[20.0, 50.0)',<1,2,'male single',none,4,'real estate','(30.0, 40.0]',none,?,1,'unskilled resident',2,none,yes,good,10/1995,yes
Arizona,'(-0.01, 0.01]','(24.0, 36.0]','critical/other existing credit',furniture/equipment,'(5000.0, 7500.0]','[0.0, 0.01)',<1,2,'female div/dep/mar',none,4,'life insurance','(20.0, 30.0]',?,rent,2,skilled,1,yes,no,bad,10/1995,no
California,'(-2500.0, -1000.0]','(0.0, 12.0]','existing paid','new car','(1000.0, 2500.0]','[100.0, 500.0)',>=7,3,'male single',none,2,'life insurance','(40.0, 50.0]',none,own,1,skilled,?,yes,no,good,10/1995,no
California,'(-0.01, 0.01]','(0.0, 12.0]','critical/other existing credit',?,'(500.0, 1000.0]','[0.0, 0.01)',>=7,4,'male single',none,4,'no known property','(30.0, 40.0]',none,'for free',2,skilled,1,none,yes,good,10/1995,yes
California,'(-0.01, 0.01]','(12.0, 24.0]','critical/other existing credit',repairs,?,'[0.0, 0.01)',>=7,3,'male single',?,4,'no known property','(40.0, 50.0]',none,'for free',2,skilled,1,none,yes,good,10/1995,yes
Georgia,'(-10000.0, -7500.0]',?,'existing paid',radio/tv,'(2500.0, 5000.0]','[20.0, 50.0)',?,2,'female div/dep/mar',none,2,'real estate','(20.0, 30.0]',none,own,1,skilled,1,none,yes,bad,10/1995,yes
Illinois,'(-10000.0, -7500.0]','(36.0, 48.0]','no credits/all paid',furniture/equipment,'(5000.0, 7500.0]','[50.0, 100.0)',1<=X<4,3,'male single',none,4,'no known property',?,none,'for free',?,skilled,2,none,yes,good,10/1995,yes
Indiana,'(-0.01, 0.01]','(12.0, 24.0]','existing paid',?,'(2500.0, 5000.0]','[0.0, 0.01)',4<=X<7,3,'female div/dep/mar',none,4,car,?,none,own,1,skilled,1,none,no,bad,10/1995,no
Louisiana,'(0.01, 20.0]',?,'existing paid',radio/tv,'(1000.0, 2500.0]','[20.0, 50.0)',1<=X<4,4,?,guarantor,4,'real estate','(20.0, 30.0]',none,own,1,'unskilled resident',?,none,yes,bad,10/1995,yes
Maryland,'(100.0, 500.0]','(24.0, 36.0]','existing paid','used car','(7500.0, 10000.0]','[0.01, 20.0)',<1,2,'male single',none,3,?,'(20.0, 30.0]',none,own,2,skilled,1,none,yes,good,10/1995,yes
Michigan,'(-0.01, 0.01]','(12.0, 24.0]','critical/other existing credit',education,'(1000.0, 2500.0]','[0.0, 0.01)',1<=X<4,4,'female div/dep/mar',none,3,car,'(30.0, 40.0]',?,own,1,?,1,none,yes,bad,10/1995,yes
Missouri,'(-0.01, 0.01]','(0.0, 12.0]','critical/other existing credit',radio/tv,'(1000.0, 2500.0]','[0.0, 0.01)',4<=X<7,2,'male single',none,?,'real estate','(40.0, 50.0]',none,own,2,?,2,none,no,good,10/1995,no
'New Jersey','(-10000.0, -7500.0]','(24.0, 36.0]','existing paid',radio/tv,'(1000.0, 2500.0]','[0.01, 20.0)',1<=X<4,4,'male div/sep',none,4,car,?,none,rent,1,skilled,1,none,no,bad,10/1995,no
Nevada,'(-2500.0, -1000.0]','(0.0, 12.0]','existing paid','new car','(500.0, 1000.0]','[20.0, 50.0)',<1,3,'male single',none,4,'real estate','(40.0, 50.0]',none,own,1,?,2,yes,yes,good,10/1995,yes
'New York','(0.01, 20.0]','(24.0, 36.0]','existing paid',education,'(1000.0, 2500.0]','[0.01, 20.0)',4<=X<7,3,'male single',none,1,?,'(30.0, 40.0]',none,own,2,skilled,2,none,no,good,10/1995,no
Pennsylvania,'(50.0, 100.0]','(12.0, 24.0]','existing paid','new car','(2500.0, 5000.0]','[100.0, 500.0)',?,2,'female div/dep/mar',none,?,car,'(20.0, 30.0]',none,rent,2,skilled,1,yes,yes,bad,10/1995,yes
Tennessee,'(-0.01, 0.01]','(0.0, 12.0]','delayed previously','used car','(1000.0, 2500.0]','[0.0, 0.01)',1<=X<4,4,'male mar/wid',none,4,'real estate','(40.0, 50.0]',none,rent,1,skilled,1,none,yes,good,10/1995,yes
Texas,'(-0.01, 0.01]','(12.0, 24.0]','existing paid',radio/tv,'(1000.0, 2500.0]','[0.0, 0.01)',4<=X<7,4,'male mar/wid',none,3,'life insurance','(20.0, 30.0]',none,own,1,skilled,1,yes,yes,good,10/1995,yes
Texas,'(-0.01, 0.01]','(12.0, 24.0]','existing paid',radio/tv,'(2500.0, 5000.0]','[0.0, 0.01)',<1,4,'male single',none,2,car,'(20.0, 30.0]',none,own,2,skilled,1,none,no,bad,10/1995,no
Texas,'(5000.0, 7500.0]','(12.0, 24.0]','critical/other existing credit',education,'(1000.0, 2500.0]','[0.01, 20.0)',<1,2,'male div/sep',none,1,?,'(30.0, 40.0]',none,rent,1,skilled,1,none,no,bad,10/1995,no
Texas,'(-500.0, -100.0]','(0.0, 12.0]','existing paid','new car','(1000.0, 2500.0]','[0.0, 0.01)',unemployed,?,'female div/dep/mar',none,?,'life insurance','(70.0, 80.0]',?,own,1,'high qualif/self emp/mgmt',1,?,no,bad,10/1995,no
California,'(100.0, 500.0]','(12.0, 24.0]','critical/other existing credit',furniture/equipment,'(2500.0, 5000.0]','[20.0, 50.0)',>=7,3,'female div/dep/mar',none,4,'life insurance',?,none,?,1,skilled,1,yes,yes,good,10/1995,yes
California,'(-10000.0, -7500.0]','(36.0, 48.0]',?,'new car','(7500.0, 10000.0]','[20.0, 50.0)',>=7,4,'male single',none,4,'no known property','(40.0, 50.0]',bank,'for free',1,'high qualif/self emp/mgmt',1,none,yes,bad,10/1995,yes
Georgia,'(2500.0, 5000.0]','(12.0, 24.0]','existing paid',furniture/equipment,'(2500.0, 5000.0]','[20.0, 50.0)',<1,1,'female div/dep/mar',none,1,'life insurance','(40.0, 50.0]',stores,own,1,'unskilled resident',1,none,yes,bad,10/1995,yes
Illinois,'(100.0, 500.0]','(0.0, 12.0]','existing paid',radio/tv,'(1000.0, 2500.0]','[0.01, 20.0)',<1,1,'male mar/wid',none,1,'real estate','(20.0, 30.0]',none,rent,?,skilled,1,none,no,good,11/1995,no
Indiana,'(-0.01, 0.01]','(12.0, 24.0]','delayed previously','new car','(1000.0, 2500.0]','[0.0, 0.01)',>=7,4,'male single',none,4,'no known property','(50.0, 60.0]',none,'for free',2,?,1,yes,no,good,11/1995,no
Louisiana,'(-5000.0, -2500.0]','(24.0, 36.0]','existing paid',furniture/equipment,'(5000.0, 7500.0]','[0.0, 0.01)',>=7,4,'male single',none,4,'life insurance','(30.0, 40.0]',none,own,1,skilled,1,none,no,good,11/1995,no
Maryland,'(7500.0, 10000.0]','(12.0, 24.0]','existing paid',furniture/equipment,'(2500.0, 5000.0]','[0.01, 20.0)',1<=X<4,2,'male single',none,1,?,'(30.0, 40.0]',none,own,1,'unskilled resident',2,none,no,bad,11/1995,no
Michigan,'(-0.01, 0.01]','(0.0, 12.0]','critical/other existing credit','new car','(1000.0, 2500.0]','[0.0, 0.01)',>=7,4,'male single',none,4,'real estate','(60.0, 70.0]',none,own,2,'unskilled resident',1,?,no,bad,11/1995,no
Missouri,'(-1000.0, -500.0]','(12.0, 24.0]','delayed previously','new car','(1000.0, 2500.0]','[20.0, 50.0)',unemployed,4,'male single',none,2,'real estate','(40.0, 50.0]',none,'for free',2,skilled,2,none,yes,good,11/1995,yes
'New Jersey','(-0.01, 0.01]',?,'critical/other existing credit','new car','(1000.0, 2500.0]','[0.0, 0.01)',1<=X<4,4,'female div/dep/mar',none,4,car,'(30.0, 40.0]',none,own,1,skilled,1,yes,yes,bad,11/1995,yes
Nevada,'(-0.01, 0.01]','(12.0, 24.0]','existing paid',radio/tv,'(1000.0, 2500.0]','[0.0, 0.01)',4<=X<7,?,'male single',?,1,car,'(30.0, 40.0]',bank,own,1,skilled,2,none,no,bad,11/1995,no
'New York','(-0.01, 0.01]','(0.0, 12.0]','all paid',radio/tv,'(500.0, 1000.0]','[0.0, 0.01)',1<=X<4,4,'female div/dep/mar',none,?,'real estate','(20.0, 30.0]',bank,own,1,'unskilled resident',1,none,yes,bad,11/1995,yes
Pennsylvania,'(-0.01, 0.01]','(36.0, 48.0]','critical/other existing credit','used car','(7500.0, 10000.0]','[0.0, 0.01)',4<=X<7,2,'male single',none,1,'no known property','(30.0, 40.0]',none,'for free',2,?,1,yes,no,good,11/1995,no
Texas,'(-0.01, 0.01]','(0.0, 12.0]','critical/other existing credit',?,'(500.0, 1000.0]','[0.0, 0.01)',4<=X<7,4,'female div/dep/mar',none,4,'real estate','(20.0, 30.0]',none,?,2,skilled,1,none,no,good,11/1995,no
Texas,'(-0.01, 0.01]','(0.0, 12.0]','all paid',radio/tv,'(1000.0, 2500.0]','[0.0, 0.01)',>=7,2,'male single',none,4,'life insurance','(40.0, 50.0]',bank,own,1,'unskilled resident',2,none,yes,good,11/1995,yes
Texas,'(-10000.0, -7500.0]','(36.0, 48.0]','existing paid',radio/tv,?,'[20.0, 50.0)',4<=X<7,1,'male mar/wid',guarantor,1,'real estate',?,none,own,2,skilled,1,yes,yes,bad,11/1995,yes
California,'(100.0, 500.0]','(0.0, 12.0]','critical/other existing credit',?,'(1000.0, 2500.0]','[100.0, 500.0)',<1,4,'male single',none,1,car,'(20.0, 30.0]',?,own,1,skilled,1,none,yes,good,11/1995,yes
California,'(100.0, 500.0]','(0.0, 12.0]','existing paid',education,'(1000.0, 2500.0]','[50.0, 100.0)',4<=X<7,4,'female div/dep/mar',none,4,'life insurance','(60.0, 70.0]',none,own,2,'high qualif/self emp/mgmt',1,yes,yes,bad,11/1995,yes
Illinois,'(20.0, 50.0]','(0.0, 12.0]',?,radio/tv,'(1000.0, 2500.0]','[0.01, 20.0)',<1,2,'male single',none,1,car,'(20.0, 30.0]',stores,own,1,skilled,1,none,yes,bad,11/1995,yes
Indiana,'(0.01, 20.0]','(12.0, 24.0]','no credits/all paid','new car','(1000.0, 2500.0]','[100.0, 500.0)',?,3,'female div/dep/mar',none,3,car,'(20.0, 30.0]',none,own,2,skilled,1,none,yes,good,11/1995,yes
Louisiana,'(-0.01, 0.01]','(12.0, 24.0]','no credits/all paid','new car',?,'[0.0, 0.01)',1<=X<4,1,'female div/dep/mar',none,4,'life insurance','(20.0, 30.0]',bank,own,2,skilled,1,?,no,good,11/1995,no
Maryland,'(-10000.0, -7500.0]','(12.0, 24.0]','all paid',furniture/equipment,'(2500.0, 5000.0]','[20.0, 50.0)',4<=X<7,3,'male single',none,4,?,'(20.0, 30.0]',bank,own,1,skilled,1,none,yes,good,11/1995,yes
Michigan,'(100.0, 500.0]','(12.0, 24.0]','critical/other existing credit',furniture/equipment,'(1000.0, 2500.0]','[50.0, 100.0)',<1,?,'male single',none,?,'real estate','(30.0, 40.0]',none,own,2,'unskilled resident',1,none,no,good,11/1995,no
Missouri,'(-7500.0, -5000.0]','(12.0, 24.0]',?,'used car','(2500.0, 5000.0]','[0.0, 0.01)',>=7,4,'male single',none,?,'no known property','(40.0, 50.0]',bank,'for free',1,skilled,2,yes,yes,good,11/1995,yes
'New Jersey','(-1000.0, -500.0]','(12.0, 24.0]',?,?,'(1000.0, 2500.0]','[20.0, 50.0)',4<=X<7,4,'male single',guarantor,4,car,'(20.0, 30.0]',bank,rent,1,?,1,none,yes,good,11/1995,yes
Nevada,'(1000.0, 2500.0]','(0.0, 12.0]','delayed previously',radio/tv,'(500.0, 1000.0]','[50.0, 100.0)',<1,2,'female div/dep/mar',none,1,'life insurance','(20.0, 30.0]',bank,own,1,skilled,1,none,no,good,11/1995,no
'New York','(0.01, 20.0]','(24.0, 36.0]','existing paid','new car','(10000.0, 12500.0]','[0.0, 0.01)',1<=X<4,1,'male single',none,4,'no known property','(30.0, 40.0]',none,'for free',1,skilled,1,yes,no,bad,11/1995,no
Pennsylvania,'(20.0, 50.0]',?,'delayed previously',business,'(2500.0, 5000.0]','[0.0, 0.01)',1<=X<4,4,'male single',?,2,'life insurance','(30.0, 40.0]',?,own,2,'high qualif/self emp/mgmt',1,yes,no,good,11/1995,no
Texas,'(100.0, 500.0]','(12.0, 24.0]','delayed previously',radio/tv,'(1000.0, 2500.0]','[100.0, 500.0)',4<=X<7,3,'female div/dep/mar',none,2,'life insurance','(20.0, 30.0]',none,rent,2,skilled,1,yes,yes,good,11/1995,yes
Texas,'(-5000.0, -2500.0]','(0.0, 12.0]','existing paid','new car','(1000.0, 2500.0]','[50.0, 100.0)',?,2,'male div/sep',?,?,?,'(30.0, 40.0]',none,own,1,skilled,1,none,no,good,11/1995,no
Texas,'(-0.01, 0.01]','(12.0, 24.0]','critical/other existing credit',radio/tv,?,'[0.0, 0.01)',>=7,2,'male single',none,2,car,'(30.0, 40.0]',none,own,1,skilled,1,none,no,good,11/1995,no
California,'(100.0, 500.0]','(36.0, 48.0]','existing paid',?,'(2500.0, 5000.0]','[0.0, 0.01)',4<=X<7,4,'male single',?,1,car,'(40.0, 50.0]',none,own,2,skilled,2,yes,yes,good,11/1995,yes
Illinois,'(-10000.0, -7500.0]','(36.0, 48.0]','existing paid',radio/tv,'(5000.0, 7500.0]','[50.0, 100.0)',1<=X<4,3,'female div/dep/mar',none,2,car,'(30.0, 40.0]',none,own,1,skilled,1,yes,no,good,11/1995,no
Maryland,'(-2500.0, -1000.0]',?,'existing paid',furniture/equipment,'(2500.0, 5000.0]','[20.0, 50.0)',?,4,?,?,4,'real estate','(20.0, 30.0]',none,rent,1,'unskilled resident',1,yes,no,good,12/1995,no
Michigan,'(-0.01, 0.01]','(24.0, 36.0]',?,radio/tv,'(5000.0, 7500.0]','[0.0, 0.01)',4<=X<7,?,'male single','co applicant',2,car,'(30.0, 40.0]',none,own,1,skilled,1,?,yes,good,12/1995,yes
Missouri,'(-0.01, 0.01]',?,'existing paid','used car','(5000.0, 7500.0]','[0.0, 0.01)',unemployed,2,'female div/dep/mar',none,?,'life insurance','(20.0, 30.0]',none,rent,1,'high qualif/self emp/mgmt',1,yes,no,good,12/1995,no
Nevada,'(-10000.0, -7500.0]',?,'existing paid',?,'(500.0, 1000.0]','[50.0, 100.0)',1<=X<4,4,'female div/dep/mar',none,4,'life insurance',?,none,?,1,?,1,none,no,good,12/1995,no
'New York','(20.0, 50.0]','(0.0, 12.0]','existing paid',radio/tv,'(1000.0, 2500.0]','[50.0, 100.0)',>=7,4,'male single',none,4,?,?,none,own,2,'unskilled resident',1,none,no,bad,12/1995,no
Pennsylvania,'(-0.01, 0.01]','(12.0, 24.0]','critical/other existing credit',furniture/equipment,'(2500.0, 5000.0]','[0.0, 0.01)',4<=X<7,2,'female div/dep/mar','co applicant',3,?,'(20.0, 30.0]',bank,own,2,skilled,1,none,yes,good,12/1995,yes
Texas,'(100.0, 500.0]','(0.0, 12.0]','existing paid',radio/tv,'(2500.0, 5000.0]','[50.0, 100.0)',4<=X<7,2,'female div/dep/mar',none,1,'real estate','(20.0, 30.0]',none,own,1,skilled,1,none,no,bad,12/1995,no
Texas,'(-0.01, 0.01]','(12.0, 24.0]','critical/other existing credit',education,'(1000.0, 2500.0]','[0.0, 0.01)',1<=X<4,3,'female div/dep/mar',none,2,car,'(30.0, 40.0]',none,?,2,skilled,1,yes,yes,good,12/1995,yes
Texas,'(100.0, 500.0]','(24.0, 36.0]','critical/other existing credit','new car','(2500.0, 5000.0]','[0.01, 20.0)',<1,?,'male div/sep',none,?,?,'(20.0, 30.0]',none,own,2,skilled,1,none,yes,good,12/1995,yes
California,'(-0.01, 0.01]','(12.0, 24.0]','existing paid',?,'(500.0, 1000.0]','[0.0, 0.01)',<1,4,'male mar/wid',none,?,car,?,none,own,2,'unskilled resident',?,none,no,bad,12/1995,no
Illinois,'(0.01, 20.0]',?,'critical/other existing credit','new car','(1000.0, 2500.0]','[0.01, 20.0)',>=7,3,'male single',guarantor,3,'real estate','(20.0, 30.0]',bank,own,2,skilled,1,?,yes,good,12/1995,yes
Maryland,'(0.01, 20.0]','(0.0, 12.0]','critical/other existing credit','new car','(2500.0, 5000.0]','[50.0, 100.0)',?,1,'male single',none,3,'real estate','(40.0, 50.0]',bank,own,2,?,2,none,no,bad,12/1995,no
Michigan,'(-0.01, 0.01]','(0.0, 12.0]','existing paid',furniture/equipment,'(1000.0, 2500.0]','[0.0, 0.01)',1<=X<4,4,'female div/dep/mar',none,2,'real estate','(20.0, 30.0]',none,rent,1,skilled,?,none,yes,good,12/1995,yes
Missouri,'(100.0, 500.0]','(24.0, 36.0]','existing paid',repairs,'(1000.0, 2500.0]','[50.0, 100.0)',<1,4,'male single',none,1,'no known property','(30.0, 40.0]',none,rent,1,'unskilled resident',1,none,no,good,12/1995,no
Nevada,'(-0.01, 0.01]','(0.0, 12.0]','existing paid','new car','(1000.0, 2500.0]','[0.0, 0.01)',>=7,4,'female div/dep/mar',none,4,'no known property','(50.0, 60.0]',none,'for free',1,'high qualif/self emp/mgmt',1,yes,no,bad,12/1995,no
'New York','(-10000.0, -7500.0]','(12.0, 24.0]','existing paid',furniture/equipment,'(1000.0, 2500.0]','[50.0, 100.0)',1<=X<4,1,'female div/dep/mar',none,4,?,'(10.0, 20.0]',bank,rent,1,skilled,1,none,yes,bad,12/1995,yes
Pennsylvania,'(-2500.0, -1000.0]','(0.0, 12.0]','critical/other existing credit','new car','(2500.0, 5000.0]','[50.0, 100.0)',1<=X<4,2,'male single',none,2,'real estate','(30.0, 40.0]',none,rent,2,skilled,2,none,yes,good,12/1995,yes
Texas,'(-10000.0, -7500.0]','(0.0, 12.0]','existing paid',furniture/equipment,'(1000.0, 2500.0]','[20.0, 50.0)',1<=X<4,4,'male single',?,1,'life insurance','(20.0, 30.0]',none,own,1,'unskilled resident',1,none,no,bad,12/1995,no
Texas,'(-5000.0, -2500.0]',?,'existing paid','domestic appliance','(1000.0, 2500.0]','[0.0, 0.01)',1<=X<4,4,'male mar/wid',none,?,'real estate','(40.0, 50.0]',none,own,1,'unskilled resident',1,yes,no,bad,12/1995,no
California,'(-10000.0, -7500.0]','(0.0, 12.0]','critical/other existing credit',furniture/equipment,'(1000.0, 2500.0]','[0.01, 20.0)',>=7,?,'male single',none,3,'life insurance','(50.0, 60.0]',none,own,2,skilled,1,none,yes,good,12/1995,yes
Illinois,'(-10000.0, -7500.0]','(0.0, 12.0]','critical/other existing credit',radio/tv,?,'[50.0, 100.0)',4<=X<7,4,'female div/dep/mar',none,3,'real estate','(50.0, 60.0]',none,own,4,'unskilled resident',1,yes,no,bad,12/1995,no
Michigan,'(20.0, 50.0]',?,'delayed previously','new car','(1000.0, 2500.0]','[0.0, 0.01)',1<=X<4,4,?,none,4,car,?,none,?,2,skilled,1,yes,no,good,12/1995,no
Missouri,'(-0.01, 0.01]','(12.0, 24.0]','existing paid',business,?,'[0.0, 0.01)',>=7,4,'female div/dep/mar',none,4,'real estate','(30.0, 40.0]',bank,own,1,'unskilled resident',1,?,no,good,12/1995,no
'New York','(50.0, 100.0]','(12.0, 24.0]','existing paid','new car','(2500.0, 5000.0]','[50.0, 100.0)',1<=X<4,3,'female div/dep/mar',none,4,'life insurance','(10.0, 20.0]',none,?,?,'unskilled resident',1,yes,yes,bad,12/1995,yes
Pennsylvania,'(-7500.0, -5000.0]','(12.0, 24.0]','all paid',other,'(1000.0, 2500.0]','[0.0, 0.01)',>=7,?,'male single',none,3,car,'(30.0, 40.0]',stores,own,1,'high qualif/self emp/mgmt',1,yes,yes,good,12/1995,yes
Texas,'(100.0, 500.0]','(0.0, 12.0]',?,'new car','(500.0, 1000.0]','[100.0, 500.0)',<1,1,'female div/dep/mar',none,1,'life insurance','(30.0, 40.0]',stores,own,1,?,1,none,yes,good,12/1995,yes
California,'(-10000.0, -7500.0]','(12.0, 24.0]','existing paid','new car','(1000.0, 2500.0]','[20.0, 50.0)',?,4,'female div/dep/mar',none,?,car,'(20.0, 30.0]',none,rent,2,skilled,1,none,yes,good,12/1995,yes
Illinois,'(100.0, 500.0]','(12.0, 24.0]','no credits/all paid',business,'(2500.0, 5000.0]','[0.01, 20.0)',1<=X<4,1,'male single',none,4,'real estate','(30.0, 40.0]',none,own,3,'unskilled resident',1,yes,no,good,12/1995,no
Maryland,'(-0.01, 0.01]','(12.0, 24.0]','critical/other existing credit','new car',?,'[0.0, 0.01)',4<=X<7,2,'male single',none,2,'life insurance','(30.0, 40.0]',bank,own,2,?,1,none,no,bad,12/1995,no
Michigan,'(-0.01, 0.01]','(12.0, 24.0]','delayed previously',business,'(2500.0, 5000.0]','[0.0, 0.01)',1<=X<4,1,'male single',none,?,'no known property','(30.0, 40.0]',none,'for free',1,?,1,?,no,bad,12/1995,no
Missouri,'(100.0, 500.0]','(0.0, 12.0]','existing paid',?,'(1000.0, 2500.0]','[50.0, 100.0)',<1,1,'female div/dep/mar',guarantor,1,'real estate','(40.0, 50.0]',none,?,1,skilled,1,none,yes,good,12/1995,yes
'New York','(20.0, 50.0]','(0.0, 12.0]','existing paid',?,'(500.0, 1000.0]','[50.0, 100.0)',?,4,'female div/dep/mar',none,?,'life insurance',?,none,own,1,skilled,?,none,no,bad,01/1996,no
Pennsylvania,'(0.01, 20.0]','(12.0, 24.0]','all paid',education,'(1000.0, 2500.0]','[50.0, 100.0)',4<=X<7,4,'female div/dep/mar',none,4,'no known property','(30.0, 40.0]',bank,'for free',1,'unskilled resident',1,none,yes,good,01/1996,yes
Texas,'(-0.01, 0.01]','(24.0, 36.0]','existing paid',furniture/equipment,'(2500.0, 5000.0]','[0.0, 0.01)',1<=X<4,4,'female div/dep/mar',none,2,car,'(20.0, 30.0]',none,?,1,'high qualif/self emp/mgmt',1,yes,yes,good,01/1996,yes
California,'(1000.0, 2500.0]','(0.0, 12.0]','existing paid',furniture/equipment,'(1000.0, 2500.0]','[50.0, 100.0)',<1,4,?,none,2,'life insurance','(20.0, 30.0]',none,own,1,?,1,none,yes,good,01/1996,yes
Illinois,'(-5000.0, -2500.0]','(12.0, 24.0]','all paid',furniture/equipment,?,'[500.0, 1000.0)',1<=X<4,?,'male single',none,4,'real estate','(20.0, 30.0]',stores,own,1,skilled,1,yes,yes,good,01/1996,yes
Michigan,'(-0.01, 0.01]','(12.0, 24.0]','critical/other existing credit',business,'(2500.0, 5000.0]','[0.0, 0.01)',1<=X<4,3,'male single',?,2,'real estate','(70.0, 80.0]',none,own,1,?,1,yes,yes,good,01/1996,yes
Missouri,'(100.0, 500.0]','(24.0, 36.0]','existing paid',?,'(2500.0, 5000.0]','[0.0, 0.01)',?,4,'female div/dep/mar',?,4,'no known property','(40.0, 50.0]',?,'for free',1,skilled,1,?,yes,good,01/1996,yes
'New York','(-0.01, 0.01]',?,'existing paid',radio/tv,?,'[0.0, 0.01)',<1,4,'male single',none,1,'real estate','(30.0, 40.0]',none,own,1,skilled,1,none,no,bad,01/1996,no
Pennsylvania,'(-0.01, 0.01]','(12.0, 24.0]','existing paid','used car','(1000.0, 2500.0]','[0.0, 0.01)',>=7,4,'male single',none,4,'no known property','(40.0, 50.0]',bank,'for free',1,skilled,2,none,no,good,01/1996,no
Texas,'(-7500.0, -5000.0]','(0.0, 12.0]','existing paid','domestic appliance','(500.0, 1000.0]','[100.0, 500.0)',unemployed,?,'female div/dep/mar',none,3,'life insurance','(20.0, 30.0]',none,?,1,skilled,1,none,no,good,01/1996,no
Texas,'(2500.0, 5000.0]',?,'existing paid','new car','(1000.0, 2500.0]','[100.0, 500.0)',?,1,'female div/dep/mar',none,4,'no known property',?,?,'for free',1,'unskilled resident',2,none,yes,good,01/1996,yes
California,'(-2500.0, -1000.0]','(12.0, 24.0]','existing paid',radio/tv,'(2500.0, 5000.0]','[7500.0, 10000.0)',<1,4,'female div/dep/mar',none,2,car,'(20.0, 30.0]',bank,?,1,skilled,1,none,yes,good,01/1996,yes
Illinois,'(-5000.0, -2500.0]','(12.0, 24.0]','all paid','used car','(2500.0, 5000.0]','[50.0, 100.0)',1<=X<4,1,'female div/dep/mar',guarantor,4,car,'(20.0, 30.0]',bank,rent,1,?,1,none,no,good,01/1996,no
Indiana,'(-0.01, 0.01]','(12.0, 24.0]','delayed previously',furniture/equipment,'(1000.0, 2500.0]','[0.0, 0.01)',4<=X<7,4,'female div/dep/mar',none,1,'real estate',?,none,own,1,skilled,1,none,yes,bad,01/1996,yes
Maryland,'(100.0, 500.0]','(36.0, 48.0]','no credits/all paid',business,'(10000.0, 12500.0]','[0.0, 0.01)',1<=X<4,2,'male single',none,2,car,'(40.0, 50.0]',?,own,1,'high qualif/self emp/mgmt',?,?,no,good,01/1996,no
Michigan,'(100.0, 500.0]','(48.0, 60.0]','delayed previously',radio/tv,?,'[0.0, 0.01)',1<=X<4,2,?,none,2,'no known property','(20.0, 30.0]',none,'for free',1,'high qualif/self emp/mgmt',1,none,yes,bad,01/1996,yes
Missouri,'(-5000.0, -2500.0]','(0.0, 12.0]','critical/other existing credit','new car','(2500.0, 5000.0]','[20.0, 50.0)',1<=X<4,1,?,none,3,'real estate','(30.0, 40.0]',none,rent,3,skilled,2,none,no,good,01/1996,no
'New York','(100.0, 500.0]','(24.0, 36.0]','existing paid',furniture/equipment,'(2500.0, 5000.0]','[0.0, 0.01)',1<=X<4,?,'female div/dep/mar','co applicant',4,car,'(20.0, 30.0]',none,rent,1,skilled,?,none,no,good,01/1996,no
Pennsylvania,'(-0.01, 0.01]','(0.0, 12.0]','existing paid','new car','(500.0, 1000.0]','[0.0, 0.01)',1<=X<4,?,'male div/sep',none,2,'real estate','(40.0, 50.0]',none,own,1,'unskilled resident',1,none,yes,bad,01/1996,yes
Texas,'(0.01, 20.0]','(12.0, 24.0]','critical/other existing credit',business,'(2500.0, 5000.0]','[50.0, 100.0)',4<=X<7,2,'male single',none,3,'life insurance','(20.0, 30.0]',?,own,2,skilled,1,none,yes,good,01/1996,yes
California,'(-0.01, 0.01]','(12.0, 24.0]','critical/other existing credit','new car','(1000.0, 2500.0]','[0.0, 0.01)',1<=X<4,3,'male single',none,2,'life insurance','(30.0, 40.0]',bank,own,2,skilled,1,none,no,good,01/1996,no
Illinois,'(-0.01, 0.01]','(36.0, 48.0]','existing paid',business,'(2500.0, 5000.0]','[0.0, 0.01)',1<=X<4,4,'male div/sep',none,2,'real estate','(30.0, 40.0]',bank,own,1,skilled,1,none,yes,bad,01/1996,yes
Michigan,'(-7500.0, -5000.0]','(0.0, 12.0]','existing paid',furniture/equipment,?,'[50.0, 100.0)',<1,4,'female div/dep/mar',none,1,car,'(20.0, 30.0]',none,?,1,skilled,?,none,no,good,01/1996,no
Missouri,'(-1000.0, -500.0]','(12.0, 24.0]','existing paid',radio/tv,'(2500.0, 5000.0]','[20.0, 50.0)',1<=X<4,4,'male single',none,4,'no known property','(60.0, 70.0]',none,'for free',2,skilled,1,none,no,good,01/1996,no
'New York','(-0.01, 0.01]','(12.0, 24.0]','existing paid',radio/tv,'(1000.0, 2500.0]','[0.0, 0.01)',>=7,4,'male single',?,2,car,'(30.0, 40.0]',none,own,1,skilled,1,none,yes,bad,01/1996,yes
